,case_year,gu,dong,dong0,bunji,floor_cat,build_area_grade,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment_val,result,dong1,"('brand_name', 0)","('addr_lat', 0)","('addr_lng', 0)"
102,2020,도봉구,방학동,서울특별시 도봉구 방학동,734-1,13~20층,중형,1,386000000,386000000,563900000.0,2021,202104,100,146.0,0,1,서울특별시 도봉구 방학동 734-1,래미안라센트아파트,37.599480756187695,127.03883000318879
103,2020,성동구,성수동2가,서울특별시 성동구 성수동2가,846,8~12층,중형,1,699000000,699000000,789300000.0,2021,202104,100,113.0,1,1,서울특별시 성동구 성수동2가 846,래미안라센트아파트,37.599480756187695,127.03883000318879
104,2020,도봉구,쌍문동,서울특별시 도봉구 쌍문동,59-5,13~20층,중형,1,426000000,426000000,577700000.0,2021,202104,100,136.0,0,1,서울특별시 도봉구 쌍문동 59-5,래미안라센트아파트,37.599480756187695,127.03883000318879
105,2020,강북구,미아동,서울특별시 강북구 미아동,1369,8~12층,대형,1,1070000000,1070000000,1121110000.0,2021,202104,100,105.0,0,1,서울특별시 강북구 미아동 1369,래미안라센트아파트,37.599480756187695,127.03883000318879
106,2020,성동구,금호동1가,서울특별시 성동구 금호동1가,633,4~7층,중형,1,869000000,869000000,1185699900.0,2021,202104,100,136.0,1,1,서울특별시 성동구 금호동1가 633,래미안라센트아파트,37.599480756187695,127.03883000318879
107,2020,강동구,천호동,서울특별시 강동구 천호동,28,지하~3층,중형,1,450000000,450000000,828920000.0,2021,202104,100,184.0,1,1,서울특별시 강동구 천호동 28,래미안라센트아파트,37.599480756187695,127.03883000318879
108,2020,송파구,방이동,서울특별시 송파구 방이동,89,13~20층,소형,1,901000000,720800000,828920000.0,2021,202104,80,92.0,1,1,서울특별시 송파구 방이동 89,래미안라센트아파트,37.599480756187695,127.03883000318879
109,2020,송파구,오금동,서울특별시 송파구 오금동,9-7,4~7층,중형,1,442000000,442000000,539999000.0,2021,202104,100,122.0,1,1,서울특별시 송파구 오금동 9-7,래미안라센트아파트,37.599480756187695,127.03883000318879
110,2020,중랑구,망우동,서울특별시 중랑구 망우동,583,8~12층,중형,1,625000000,625000000,711000000.0,2021,202104,100,114.0,0,1,서울특별시 중랑구 망우동 583,래미안라센트아파트,37.599480756187695,127.03883000318879
111,2020,양천구,신월동,서울특별시 양천구 신월동,1001-5,지하~3층,소형,1,190000000,121600000,155900000.0,2021,202104,64,82.0,0,1,서울특별시 양천구 신월동 1001-5,래미안라센트아파트,37.599480756187695,127.03883000318879
